,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'wired', 'name': 'Wired'}",Scott Gilbertson,This Cold-Storage Crypto Wallet Is a Smart Investment,"If you don't use a safe, offline storage device, you don't really own your cryptocurrency. The Ledger Nano X keeps it secure from prying eyes.",https://www.wired.com/review/ledger-nano-x-crypto-wallet/,"https://media.wired.com/photos/630916d9ba2a66af641b11ee/191:100/w_1280,c_limit/Ledger-Nano-X-Gear.jpg",2022-08-29T12:00:00Z,"If youre serious about owning digital currencies, you need a hardware wallet. Just as the wallet in your pocket stores physical currency, a crypto wallet stores your digital currency. It keeps it saf… [+3718 chars]"
1,"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,Congress presses big crypto exchanges for details on how they’re fighting scams,"Congress wrote letters to Coinbase, Binance, FTX, and others to ask how they’re protecting consumers against crypto-related scams.",https://www.theverge.com/2022/8/31/23330623/congress-coinbase-binance-ftx-cryptocurrency-scams,https://cdn.vox-cdn.com/thumbor/6OTL-0k-pWPknCLxmmh5wo6HNM4=/0x215:3000x1786/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23630720/acastro_STK019_02.jpg,2022-08-31T16:20:59Z,"Pointed questions for Coinbase, Binance.US, FTX, Kraken, and KuCoin
Illustration by Alex Castro / The Verge
Congress wants to know what Coinbase, Binance.US, FTX, Kraken, and KuCoin are doing to ad… [+2640 chars]"
2,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters,"Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",https://www.reuters.com/article/albania-turkey-cryptocurrencies-arrests-idUSKBN2Q011N,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2022-08-30T13:06:00Z,"By Reuters Staff
TIRANA (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year,… [+1638 chars]"
3,"{'id': 'reuters', 'name': 'Reuters'}",,Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters,"Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",https://www.reuters.com/world/fugitive-turkish-crypto-fraud-suspect-arrested-albania-resort-2022-08-30/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=108,2022-08-30T13:05:00Z,"TIRANA, Aug 30 (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police an… [+1919 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Crypto Weekly: something in the Ether - Reuters,"From why ether is gaining ground on bitcoin, to an unhappy crypto anniversary in El Salvador, we round up the week's big stories in the world of alternative currencies. Olivia Zollino reports.",https://www.reuters.com/video/watch/idOV496413092022RP1,https://static.reuters.com/resources/r/?d=20220913&i=OV496413092022RP1&r=OV496413092022RP1&t=2,2022-09-13T17:25:35Z,"Posted 
From why ether is gaining ground on bitcoin, to an unhappy crypto anniversary in El Salvador, we round up the week's big stories in the world of alternative currencies. Olivia Zollino report… [+1 chars]"
5,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Ethereum 'Merge' slashes crypto energy use - Reuters,"The Ethereum blockchain has undergone a major software upgrade, drastically reducing its energy usage, its inventor and co-founder tweeted on Thursday. Julian Satterthwaite reports.",https://www.reuters.com/video/watch/idOV553815092022RP1,https://static.reuters.com/resources/r/?d=20220915&i=OV553815092022RP1&r=OV553815092022RP1&t=2,2022-09-15T14:14:07Z,"Posted 
The Ethereum blockchain has undergone a major software upgrade, drastically reducing its energy usage, its inventor and co-founder tweeted on Thursday. Julian Satterthwaite reports."
6,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Crypto Weekly: the urge to merge - Reuters,"From the long-awaited 'Merge' taking place for ether, to a new problem for crypto tycoon Sam Bankman-Fried, this is your weekly roundup of the big stories in alternative currencies. Trevor Koroll reports.",https://www.reuters.com/video/watch/idOV663720092022RP1,https://static.reuters.com/resources/r/?d=20220920&i=OV663720092022RP1&r=OV663720092022RP1&t=2,2022-09-20T22:06:30Z,"Posted 
From the long-awaited 'Merge' taking place for ether, to a new problem for crypto tycoon Sam Bankman-Fried, this is your weekly roundup of the big stories in alternative currencies. Trevor K… [+13 chars]"
7,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Crypto bankruptcies: Whose Money Is It? - Reuters,Reuters asked legal experts what significant rulings could come from the recent bankruptcies of crypto lenders Celsius and Voyager.,https://www.reuters.com/video/watch/idRCV00BDEB,https://static.reuters.com/resources/r/?d=20220825&i=RCV00BDEB&r=RCV00BDEB&t=2,2022-08-25T22:42:11Z,"Posted 
Reuters asked legal experts what significant rulings could come from the recent bankruptcies of crypto lenders Celsius and Voyager."
8,"{'id': 'reuters', 'name': 'Reuters'}",,Thailand tightens rules on crypto advertising - Reuters.com,Thailand's Securities and Exchange Commission (SEC) has rolled out new rules on advertising for cryptocurrency companies after the industry has come under greater scrutiny from authorities.,https://www.reuters.com/markets/asia/thailand-tightens-rules-crypto-advertising-2022-09-01/,https://www.reuters.com/resizer/J4Akbfv8v71Ol3Dflc5kF-hddwY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QRLMAXIJRJKWTFPUUQQDGBYBHY.jpg,2022-09-01T12:02:00Z,"BANGKOK, Sept 1 (Reuters) - Thailand's Securities and Exchange Commission (SEC) has rolled out new rules on advertising for cryptocurrency companies after the industry has come under greater scrutiny… [+1659 chars]"
9,"{'id': 'wired', 'name': 'Wired'}",Omar L. Gallaga,The Best Time to Upgrade Your Graphics Card Is Right Now,"In a huge change from the past two years, prices are low and high-end PC graphics boards are readily available.",https://www.wired.com/story/best-time-upgrade-graphics-card-right-now/,"https://media.wired.com/photos/63090c52f698c0a9298eadae/191:100/w_1280,c_limit/Time-to-Buy-a-GPU-Gear-GettyImages-1295311673.jpg",2022-08-27T12:00:00Z,"Gamers and other users of high-end PC graphics cards (crypto miners, video editors) are experiencing an unusual kind of sticker shock lately: Prices on the hardware have dropped so low, so quickly, t… [+3640 chars]"
10,"{'id': 'reuters', 'name': 'Reuters'}",,Dubai grants provisional approval to crypto firm Blockchain.com - Reuters,"London-based crypto firm Blockchain.com said it had won a provisional approval to operate in Dubai, becoming the latest in a series of digital asset companies expanding in the Gulf as the region looks to become a hub for blockchain technology.",https://www.reuters.com/technology/dubai-grants-provisional-approval-crypto-firm-blockchaincom-2022-09-09/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=109,2022-09-09T17:15:00Z,"Sept 9 (Reuters) - London-based crypto firm Blockchain.com said it had won a provisional approval to operate in Dubai, becoming the latest in a series of digital asset companies expanding in the Gulf… [+952 chars]"
11,"{'id': 'reuters', 'name': 'Reuters'}",,Breakingviews - Crypto fans still live in a supervised world - Reuters,"Since the dawn of history, the person with the bigger stick could easily take the person with the smaller stick’s money. That, at least, is one of many philosophies espoused by MicroStrategy <a href=""https://www.reuters.com/companies/MSTR.O"" target=""_blank"">(…",https://www.reuters.com/breakingviews/crypto-fans-still-live-supervised-world-2022-09-01/,https://www.reuters.com/resizer/vOy11V_wY64gU_q3EqbuYOnSCs8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VM4CIQY7UFOWRNC6OYATOIQLK4.jpg,2022-09-01T15:13:00Z,"NEW YORK, Sept 1 (Reuters Breakingviews) - Since the dawn of history, the person with the bigger stick could easily take the person with the smaller sticks money. That, at least, is one of many philo… [+1810 chars]"
